state,elecVotes
Alabama,9
Alaska,3
Arkansas,6
Arizona,11
Florida,29
Georgia,16
Iowa,6
Idaho,4
Indiana,11
Kansas,6
Kentucky,8
Louisiana,8
Michigan,16
Missouri,10
Mississippi,6
Montana,3
North Carolina,15
North Dakota,3
Nebraska,5
Ohio,18
Oklahoma,7
Pennsylvania,20
South Carolina,9
South Dakota,3
Tennessee,11
Texas,38
Utah,6
Wisconsin,10
West Virginia,5
Wyoming,3
California,55
Colorado,9
Connecticut,7
Delaware,3
Hawaii,4
Illinois,20
Maine,4
Maryland,10
Massachusetts,11
Minnesota,10
New Hampshire,4
New Jersey,14
New Mexico,5
Nevada,6
New York,29
Rhode Island,4
Oregon,7
Virginia,13
Vermont,3
Washington,12
District Columbia,3
